"CustomerID","Recency_capped","Frequency_capped","Monetary_capped","Cluster_Id","Segment"
12346,326,1,18715.313,3,"VIP Customers"
12347,3,7,4310,2,"Active Customers"
12348,76,4,1437.24,2,"Active Customers"
12349,19,1,1457.55,2,"Active Customers"
12350,311,1,294.4,1,"Dormant"
12352,37,7,1385.74,2,"Active Customers"
12353,205,1,89,1,"Dormant"
12354,233,1,1079.4,1,"Dormant"
12355,215,1,459.4,1,"Dormant"
12356,23,3,2487.43,2,"Active Customers"
12357,34,1,6207.67,2,"Active Customers"
12358,2,2,928.06,2,"Active Customers"
12359,58,4,6372.58,2,"Active Customers"
12360,53,3,2302.06,2,"Active Customers"
12361,288,1,174.9,1,"Dormant"
12362,4,10,4737.23,2,"Active Customers"
12363,110,2,552,2,"Active Customers"
12364,8,4,1208.1,2,"Active Customers"
12365,292,1,320.69,1,"Dormant"
12367,5,1,150.9,2,"Active Customers"
12370,52,4,3425.69,2,"Active Customers"
12371,60,1,1527.96,2,"Active Customers"
12372,72,3,1196.04,2,"Active Customers"
12373,312,1,324.6,1,"Dormant"
12374,26,1,622.93,2,"Active Customers"
12375,11,2,377.5,2,"Active Customers"
12377,316,2,1548.12,1,"Dormant"
12378,130,1,4008.62,2,"Active Customers"
12379,82,2,777.24,2,"Active Customers"
12380,22,4,2427.81,2,"Active Customers"
12381,5,3,1474.81,2,"Active Customers"
12383,185,5,1628.56,1,"Dormant"
12384,29,2,425.27,2,"Active Customers"
12386,338,2,401.9,1,"Dormant"
12388,16,6,2780.66,2,"Active Customers"
12390,80,1,504.84,2,"Active Customers"
12391,22,1,460.89,2,"Active Customers"
12393,73,4,1582.6,2,"Active Customers"
12394,64,2,1080.48,2,"Active Customers"
12395,20,12,2682.63,2,"Active Customers"
12397,36,2,2214.9,2,"Active Customers"
12398,46,1,1435.66,2,"Active Customers"
12399,120,4,1033.65,2,"Active Customers"
12401,304,1,69.3,1,"Dormant"
12402,324,1,195.6,1,"Dormant"
12403,50,1,391.7,2,"Active Customers"
12405,149,1,1390.39,1,"Dormant"
12406,23,2,3415.3,2,"Active Customers"
12407,50,5,1507.12,2,"Active Customers"
12408,33,5,2618.55,2,"Active Customers"
12409,79,3,11072.67,3,"VIP Customers"
12410,309,2,533.33,1,"Dormant"
12412,75,3,1142.88,2,"Active Customers"
12413,67,3,686.1,2,"Active Customers"
12414,218,3,442.41,1,"Dormant"
12415,25,20,18715.313,3,"VIP Customers"
12417,4,9,3226.1,2,"Active Customers"
12418,113,1,668.58,2,"Active Customers"
12420,64,1,600.39,2,"Active Customers"
12421,16,4,639.04,2,"Active Customers"
12422,96,3,683.56,2,"Active Customers"
